일본판 화수|한국판 화수|제목|에피소드 분류 키워드|에피소드 컬러 코드
38|1-29|적귀촌 화제 살인사건|일반|X
39|애X1-11|자산가 영애 살인사건 (전편)|일반|X
40|애X1-12|자산가 영애 살인사건 (후편)|일반|X
41|1-30|우승기 난도질 사건|일반|X
42|애X1-13|노래방 살인사건|일반|X
43|1-31|에도가와 코난 유괴사건|일반|X
44|1-32|홋타 삼형제 살인사건|일반|X
45|1-33|얼굴팩 살인사건|일반|X
46|애X1-14|설산 산장 살인사건|일반|X
47|1-34|스포츠 클럽 살인사건|일반|X
48|1-35|외교관 살인사건 (전편)|일반|X
49|1-36|외교관 살인사건 (후편)|일반|X
50|1-37|도서관 살인사건|일반|X
51|1-38|골프연습장 살인사건|일반|X
52|애X1-15, 애X1-16|키리텐구 전설 살인사건|스페셜|X
53|1-39|수수께끼의 흉기 살인사건|일반|X
54|1-40|게임 회사 살인사건|검은조직|X
55|1-41|열차 트릭 살인사건|일반|X
56|1-42|오자만보 살인사건|일반|X
57|1-43|홈즈 프리크 살인사건 (전편)|일반|X
58|1-44|홈즈 프리크 살인사건 (후편)|일반|X
59|1-45|첫 심부름 살인사건|일반|X
60|애X1-17|일러스트레이터 살인사건|일반|X
61|애X1-18|유령선 살인사건 (전편)|일반|X
62|애X1-19|유령선 살인사건 (후편)|일반|X
63|1-46|대괴수 고메라 살인사건|일반|X
64|1-47|제3의 지문 살인사건|일반|X
65|1-48|게와 고래 유괴사건|일반|X
66|1-49|어둠의 길 살인사건|일반|X
67|1-50|무대 여배우 살인사건|일반|X
68|애X1-20|나이트바론 살인사건 (사건편)|일반|X
69|애X1-21|나이트바론 살인사건 (의혹편)|일반|X
70|애X1-22|나이트바론 살인사건 (해결편)|일반|X
71|1-51|스토커 살인사건|일반|X
72|1-52|세쌍둥이 별장 살인사건|일반|X
73|1-53|소년 탐정단 조난사건|일반|X
74|1-54|사신 진나이 살인사건|일반|X
75|애X1-23|금융회사 사장 살인사건|일반|X
76|1-55, 1-56|코난 vs 괴도 키드|괴도키드|X
77|1-57|명가 연속 변사사건 (전편)|일반|X
78|1-58|명가 연속 변사사건 (후편)|일반|X
79|1-59|은행강도 살인사건|일반|X
80|1-60|방랑화가 살인사건|일반|X
81|애X1-24|인기 아티스트 유괴사건 (전편)|일반|X
82|애X1-25|인기 아티스트 유괴사건 (후편)|일반|X
83|1-61|종합병원 살인사건|일반|X
84|1-62|스키 로지 살인사건 (전편)|일반|X
85|1-63|스키 로지 살인사건 (후편)|일반|X
86|1-64|유괴현장 특정 사건|일반|X
87|1-65|학의 보은 살인사건|일반|X
88|1-66|드라큘라 별장 살인사건 (전편)|일반|X
89|1-67|드라큘라 별장 살인사건 (후편)|일반|X
90|애X1-26|꽃향기 살인사건|일반|X
91|1-68|강도 범인 입원사건|일반|X
92|1-69|공포의 트래버스 살인사건 (전편)|일반|X
93|1-70|공포의 트래버스 살인사건 (후편)|일반|X
94|애X1-27|유키온나 전설 살인사건|일반|X
95|1-71|코고로의 데이트 살인사건|일반|X
96|1-72, 1-73, 1-74, 1-75|궁지에 몰린 명탐정! 연속 2대 살인사건|스페셜|X
97|1-76|이별의 와인 살인사건|일반|X
98|애X1-28|명도예가 살인사건 (전편)|일반|X
99|애X1-29|명도예가 살인사건 (후편)|일반|X
100|1-77|첫사랑의 사람 추억 사건 (전편)|일반|X
101|1-78|첫사랑의 사람 추억 사건 (후편)|일반|X
102|2-01|시대극 배우 살인사건 (전편)|일반|X
103|2-02|시대극 배우 살인사건 (후편)|일반|X
104|2-03|도적단 수수께끼의 양옥사건 (전편)|일반|X
105|2-04|도적단 수수께끼의 양옥사건 (후편)|일반|X
106|2-05|특종 사진 살인사건|일반|X
107|2-06|두더지 성인 수수께끼의 사건 (전편)|일반|X
108|2-07|두더지 성인 수수께끼의 사건 (후편)|일반|X
109|2-08|탐정단 대추적 사건|일반|X
110|2-09|요리 교실 살인사건 (전편)|일반|X
111|2-10|요리 교실 살인사건 (후편)|일반|X
112|2-11|테이탄 초등학교 7대 불가사의 사건|일반|X
113|2-12|흰 모래사장 살인사건|일반|X
114|2-13|스쿠버 다이빙 살인사건 (전편)|일반|X
115|2-14|스쿠버 다이빙 살인사건 (후편)|일반|X
116|2-17|미스터리 작가 실종사건 (전편)|일반|X
117|2-18|미스터리 작가 실종사건 (후편)|일반|X
118|2기 스페셜|나니와의 연속 살인사건|스페셜|X
119|2-15|가면 야이바 살인사건|일반|X
120|2-16|허니 칵테일 살인사건|일반|X
121|2-19|욕실 밀실사건 (전편)|일반|X
122|2-20|욕실 밀실사건 (후편)|일반|X
123|2-25|기상캐스터 유괴사건|일반|X
124|2-21|수수께끼의 저격자 살인사건 (전편)|일반|X
125|2-22|수수께끼의 저격자 살인사건 (후편)|일반|X
126|2-23|순회 극단 살인사건 (전편)|일반|X
127|2-24|순회 극단 살인사건 (후편)|일반|X
128|2-26|검은 조직 10억 엔 강탈사건|검은조직|X
129|2-27, 2-28, 2-29, 2-30|검은 조직에서 온 여자 대학교수 살인사건|검은조직|X
130|2-31|경기장 무차별 협박사건 (전편)|일반|X
131|2-32|경기장 무차별 협박사건 (후편)|일반|X
132|2-33|마술 애호가 살인사건 (사건편)|괴도키드|X
133|2-34|마술 애호가 살인사건 (의혹편)|괴도키드|X
134|2-35|마술 애호가 살인사건 (해결편)|괴도키드|X
135|2-36|사라진 흉기 수색 사건|일반|X
136|2-37|푸른 고성 탐색 사건 (전편)|일반|X
137|2-38|푸른 고성 탐색 사건 (후편)|일반|X
138|2-39|최후의 상영 살인사건 (전편)|일반|X
139|2-40|최후의 상영 살인사건 (후편)|일반|X
140|2-41|SOS! 아유미로부터의 메시지|일반|X
141|2-42|결혼 전야의 밀실사건 (전편)|일반|X
142|2-43|결혼 전야의 밀실사건 (후편)|일반|X
143|2-44|의혹의 천체관측|일반|X
144|2-45|우에노발 북두성 3호 (전편)|일반|X
145|2-46|우에노발 북두성 3호 (후편)|일반|X
146|2-47|본청의 형사 사랑 이야기 (전편)|일반|X
147|2-48|본청의 형사 사랑 이야기 (후편)|일반|X
148|2-49|노면 전차 급정지 사건|일반|X
149|2-50|유원지 번지점프 사건|일반|X
150|3-01|자동차 폭발 사건의 진상 (전편)|일반|X
151|3-02|자동차 폭발 사건의 진상 (후편)|일반|X
152|3-03|수수께끼의 노인 실종사건|일반|X
153|3-05|소노코의 위험한 여름 이야기 (전편)|일반|X
154|3-06|소노코의 위험한 여름 이야기 (후편)|일반|X
155|3-04|수중의 열쇠 밀실사건|일반|X
156|3-07|본청의 형사 사랑 이야기 2 (전편)|일반|X
157|3-08|본청의 형사 사랑 이야기 2 (후편)|일반|X
158|3-09|침묵의 순환선|일반|X
159|3-10|괴기 오층탑 전설 (전편)|일반|X
160|3-11|괴기 오층탑 전설 (후편)|일반|X
161|3-12|유수정에 흐르는 살의|일반|X
162|3-13, 3-14|하늘을 나는 밀실 쿠도 신이치 최초의 사건|스페셜|X
163|애X1-30|달과 별과 태양의 비밀 (전편)|일반|X
164|애X1-31|달과 별과 태양의 비밀 (후편)|일반|X
165|3-15|소년 탐정단 소실 사건|일반|X
166|애X1-32|돗토리현 거미 저택의 저주 (사건편)|일반|X
167|애X1-33|돗토리현 거미 저택의 저주 (의혹편)|일반|X
168|애X1-34|돗토리현 거미 저택의 저주 (해결편)|일반|X
169|3-16|비너스의 키스|일반|X
170|애X1-35|어둠 속의 사각 (전편)|검은조직|X
171|애X1-36|어둠 속의 사각 (후편)|검은조직|X
172|애X1-37|다시 살아나는 죽음의 전언 (전편)|일반|X
173|애X1-38|다시 살아나는 죽음의 전언 (후편)|일반|X
174|애X1-39, 애X1-40, 애X1-41, 애X1-42|20년째의 살의 심포니호 연속 살인사건|스페셜|X
175|3-17|네 번 살해당한 사내|일반|X
176|3-18|검은 조직과의 재회 (하이바라편)|검은조직|X
177|3-19|검은 조직과의 재회 (코난편)|검은조직|X
178|3-20|검은 조직과의 재회 (해결편)|검은조직|X
179|3-21|찻집 트럭 난입 사건|일반|X
180|3-22|붉은 살의의 야상곡 (전편)|일반|X
181|3-23|붉은 살의의 야상곡 (후편)|일반|X
182|애X1-43|대수색 9개의 문|일반|X
183|3-24|위험한 레시피|일반|X
184|3-25, 3-26|저주의 가면은 차갑게 웃는다|스페셜|X
185|3-27|살해당한 명탐정 (전편)|일반|X
186|3-28|살해당한 명탐정 (후편)|일반|X
187|3-29|어둠을 울리는 수수께끼의 총성|일반|X
188|3-30|목숨을 건 부활 동굴의 탐정단|일반|X
189|3-31|목숨을 건 부활 부상당한 명탐정|일반|X
190|3-32|목숨을 건 부활 제3의 선택|검은조직|X
191|3-33|목숨을 건 부활 검은 옷의 기사|일반|X
192|3-34|목숨을 건 부활 돌아온 신이치⋯|일반|X
193|3-35|목숨을 건 부활 약속의 장소|일반|X
194|애X1-44|의미 깊은 오르골 (전편)|일반|X
195|애X1-45|의미 깊은 오르골 (후편)|일반|X
196|3-36|보이지 않는 흉기 란의 첫 추리|일반|X
197|3-37|슈퍼카의 함정 (전편)|일반|X
198|3-38|슈퍼카의 함정 (후편)|일반|X
199|3-39|용의자 모리 코고로 (전편)|일반|X
200|3-40|용의자 모리 코고로 (후편)|일반|X
201|3-41|10번째 승객 (전편)|일반|X
202|3-42|10번째 승객 (후편)|일반|X
203|3-43|검은 이카루스의 날개 (전편)|일반|X
204|3-44|검은 이카루스의 날개 (후편)|일반|X
205|애X1-46|본청의 형사 사랑 이야기 3 (전편)|일반|X
206|애X1-47|본청의 형사 사랑 이야기 3 (후편)|일반|X
207|3-45|너무 완벽한 명추리|일반|X
208|3-46, 3-47|미궁으로의 입구 거대 신상의 분노|스페셜|X
209|애X1-48|용신산 전락사건|일반|X
210|애X1-49|오색 전설의 호수 저택 (전편)|일반|X
211|애X1-50|오색 전설의 호수 저택 (후편)|일반|X
212|3-49|버섯과 곰과 탐정단 (전편)|일반|X
213|3-50|버섯과 곰과 탐정단 (후편)|일반|X
214|3-48|레트로 룸의 수수께끼 사건|일반|X
215|3-51|베이 오브 더 리벤지 (전편)|일반|X
216|3-52|베이 오브 더 리벤지 (후편)|일반|X
217|4-01|봉인된 메구레의 비밀 (전편)|일반|X
218|4-02|봉인된 메구레의 비밀 (후편)|일반|X
219|4-09, 4-10, 4-11, 4-12|모여든 명탐정! 쿠도 신이치vs괴도 키드|검은조직|X
220|4-03|거짓투성이의 의뢰인 (전편)|일반|X
221|4-04|거짓투성이의 의뢰인 (후편)|일반|X
222|4-05|그리고 인어는 사라져 버렸다 (사건편)|일반|X
223|4-06|그리고 인어는 사라져 버렸다 (추리편)|검은조직|X
224|4-07|그리고 인어는 사라져 버렸다 (해결편)|일반|X
225|4-08|장사 번성의 비밀|일반|X
226|4-13|배틀게임의 함정 (전편)|검은조직|X
227|4-14|배틀게임의 함정 (후편)|검은조직|X
228|4-15|살의의 도예교실 (전편)|일반|X
229|4-16|살의의 도예교실 (후편)|일반|X
230|4-17|수수께끼의 승객 (전편)|검은조직|X
231|4-18|수수께끼의 승객 (후편)|검은조직|X
232|4-21|아파트 추락 사건|일반|X
233|4-19|사라지지 않은 증거 (전편)|일반|X
234|4-20|사라지지 않은 증거 (후편)|일반|X
235|4-22|밀실의 와인셀러|일반|X
236|4-23|난키 시라하마 미스터리 투어 (전편)|일반|X
237|4-24|난키 시라하마 미스터리 투어 (후편)|일반|X
238|4-25|오사카 "3개의 K" 사건 (전편)|일반|X
239|4-26|오사카 "3개의 K" 사건 (후편)|일반|X
240|4-27|신칸센 호송 사건 (전편)|일반|X
241|4-28|신칸센 호송 사건 (후편)|일반|X
242|4-29|겐타 소년의 재난|검은조직|X
243|애X2-01|가짜 모리 코고로 (전편)|일반|X
244|애X2-02|가짜 모리 코고로 (후편)|일반|X
245|4-30|해바라기 저택의 총성|일반|X
246|4-31|그물에 걸린 수수께끼 (전편)|일반|X
247|4-32|그물에 걸린 수수께끼 (후편)|일반|X
248|4-33|치유의 숲의 알리바이|일반|X
249|4-34|아이돌 스타의 비밀 (전편)|일반|X
250|4-35|아이돌 스타의 비밀 (후편)|일반|X
251|4-36|OK 목장의 비극|일반|X
252|4-37|그림 속의 유괴범|일반|X
253|애X2-03|본청의 형사 사랑 이야기 4 (전편)|일반|X
254|애X2-04|본청의 형사 사랑 이야기 4 (후편)|일반|X
255|애X2-05|마츠에 타마츠쿠리 연구 14번 승부 (전편)|일반|X
256|애X2-06|마츠에 타마츠쿠리 연구 14번 승부 (후편)|일반|X
257|4-38|세상에도 기묘한 천벌|일반|X
258|4-39|시카고에서 온 남자 (전편)|검은조직|X
259|4-40|시카고에서 온 남자 (후편)|검은조직|X
260|4-45|흔들리는 레스토랑|일반|X
261|애X2-07|설야의 공포 전설 (전편)|일반|X
262|애X2-08|설야의 공포 전설 (후편)|일반|X
263|4-41, 4-42, 4-43, 4-44|오사카 더블 미스터리 나니와 검사와 타이코 성|스페셜|X
264|4-49|법정의 대결 키사키vs코고로 (전편)|일반|X
265|4-50|법정의 대결 키사키vs코고로 (후편)|일반|X
266|4-46|발렌타인의 진실 (사건편)|일반|X
267|4-47|발렌타인의 진실 (추리편)|일반|X
268|4-48|발렌타인의 진실 (해결편)|일반|X
269|4-51|범죄의 유품 (전편)|검은조직|X
270|4-52|범죄의 유품 (후편)|검은조직|X
271|애X2-09|숨기고 서둘러 생략 (전편)|검은조직|X
272|애X2-10|숨기고 서둘러 생략 (후편)|검은조직|X
273|애X2-11|퀴즈할머니 실종사건|일반|X
274|5-01|유령 저택의 진실 (전편)|일반|X
275|5-02|유령 저택의 진실 (후편)|일반|X
276|5-03|경찰 수첩 분실사건|일반|X
277|5-04|영어교사vs서쪽의 명탐정 (전편)|검은조직|X
278|5-05|영어교사vs서쪽의 명탐정 (후편)|검은조직|X
279|5-06|미궁의 훌리건 (전편)|일반|X
280|5-07|미궁의 훌리건 (후편)|일반|X
281|5-08|작은 목격자들|일반|X
282|5-09|물 흐르는 석정의 괴이 (전편)|일반|X
283|5-10|물 흐르는 석정의 괴이 (후편)|일반|X
284|5-11|차이나타운 비의 데자뷰 (전편)|일반|X
285|5-12|차이나타운 비의 데자뷰 (후편)|일반|X
286|5-13|쿠도 신이치 뉴욕의 사건 (사건편)|검은조직|X
287|5-14|쿠도 신이치 뉴욕의 사건 (추리편)|검은조직|X
288|5-15|쿠도 신이치 뉴욕의 사건 (해결편)|검은조직|X
289|5-16|방황의 숲의 미츠히코 (전편)|검은조직|X
290|5-17|방황의 숲의 미츠히코 (후편)|검은조직|X
291|애X2-12|외딴섬의 공주와 용궁성 (사건편)|일반|X
292|애X2-13|외딴섬의 공주와 용궁성 (추구편)|일반|X
293|애X2-14|외딴섬의 공주와 용궁성 (해결편)|일반|X
294|애X2-15|사랑과 결단의 스매시 (전편)|일반|X
295|애X2-16|사랑과 결단의 스매시 (후편)|일반|X
296|5-18|야카타부네 낚시 쇼크|일반|X
297|5-19|법정의 대결 Ⅱ 키사키vs쿠죠 (전편)|일반|X
298|5-20|법정의 대결 Ⅱ 키사키vs쿠죠 (후편)|일반|X
299|5-21|우정과 살의의 칸몬해협 (전편)|일반|X
300|5-22|우정과 살의의 칸몬해협 (후편)|일반|X
301|5-23|악의와 성자의 행진 (전편)|일반|X
302|5-24|악의와 성자의 행진 (후편)|일반|X
303|5-25|돌아온 피해자|일반|X
304|5-26, 5-27, 5-28, 5-29|흔들리는 경시청 1200만 명의 인질|스페셜|X
305|5-30|보이지 않는 용의자 (전편)|일반|X
306|5-31|보이지 않는 용의자 (후편)|일반|X
307|애X2-17|남겨진 소리 없는 증언 (전편)|검은조직|X
308|애X2-18|남겨진 소리 없는 증언 (후편)|검은조직|X
309|5-32|검은 조직과의 접촉 (교섭편)|검은조직|X
310|5-33|검은 조직과의 접촉 (추적편)|검은조직|X
311|5-34|검은 조직과의 접촉 (결사편)|검은조직|X
312|애X2-19|석양에 물든 히나 인형 (전편)|일반|X
313|애X2-20|석양에 물든 히나 인형 (후편)|일반|X
314|5-35|부서진 울타리의 전망대|일반|X
315|5-36|햇볕이 드는 장소|일반|X
316|5-37|더럽혀진 복면히어로 (전편)|일반|X
317|5-38|더럽혀진 복면히어로 (후편)|일반|X
318|5-39|행운의 시가케이스 (전편)|일반|X
319|5-40|행운의 시가케이스 (후편)|일반|X
320|5-41|인법 알리바이공작술|일반|X
321|5-42|사라진 유괴 도주차 (전편)|일반|X
322|5-43|사라진 유괴 도주차 (후편)|일반|X
323|애X2-21|핫토리 헤이지 절체절명! (전편)|일반|X
324|애X2-22|핫토리 헤이지 절체절명! (후편)|일반|X
325|5-44|불길 속의 붉은 말 (사건편)|일반|X
326|5-45|불길 속의 붉은 말 (수사편)|일반|X
327|5-46|불길 속의 붉은 말 (해결편)|일반|X
328|5-47|생일 와인의 수수께끼|일반|X
329|5-48|돈으로 살 수 없는 우정 (전편)|일반|X
330|5-49|돈으로 살 수 없는 우정 (후편)|일반|X
331|5-50|의혹의 매운 카레 (전편)|일반|X
332|5-51|의혹의 매운 카레 (후편)|일반|X
333|6-01|닮은 꼴 프린세스 (전편)|일반|X
334|6-02|닮은 꼴 프린세스 (후편)|일반|X
335|6-03|동도 현상소의 비밀 (전편)|검은조직|X
336|6-04|동도 현상소의 비밀 (후편)|검은조직|X
337|5-52|전락사건의 뒷사정|일반|X
338|6-05|4대의 포르쉐 (전편)|검은조직|X
339|6-06|4대의 포르쉐 (후편)|검은조직|X
340|6-07|화장실에 숨긴 비밀 (전편)|검은조직|X
341|6-08|화장실에 숨긴 비밀 (후편)|검은조직|X
342|애X2-23, 애X2-24|하우스텐보스의 신부|스페셜|X
343|6-09|편의점의 함정 (전편)|검은조직|X
344|6-10|편의점의 함정 (후편)|검은조직|X
345|6-11, 6-12, 6-13, 6-14, 6-15|검은 조직과의 정면 승부 만월의 밤의 더블 미스터리|검은조직|X
346|6-16|엉덩이의 마크를 찾아라 (전편)|일반|X
347|6-17|엉덩이의 마크를 찾아라 (후편)|일반|X
348|6-18|사랑과 유령과 지구유산 (전편)|일반|X
349|6-19|사랑과 유령과 지구유산 (후편)|일반|X
350|애X2-25|잃어버린 휴대전화 (전편)|일반|X
351|애X2-26|잃어버린 휴대전화 (후편)|일반|X
352|6-20|낚시 대회의 비극 (전편)|일반|X
353|6-21|낚시 대회의 비극 (후편)|일반|X
354|애X2-27|작은 의뢰자 (전편)|일반|X
355|애X2-28|작은 의뢰자 (후편)|일반|X
356|6-22, 6-23|괴도 키드 경이의 공중보행|괴도키드|X
357|6-24|연인은 봄의 환상|일반|X
358|6-25|본청의 형사 사랑 이야기 5 (전편)|일반|X
359|6-26|본청의 형사 사랑 이야기 5 (후편)|일반|X
360|6-27|불가사의한 봄의 장수풍뎅이|일반|X
361|6-28|테이탄고교 학교 괴담 (전편)|일반|X
362|6-29|테이탄고교 학교 괴담 (후편)|일반|X
363|6-30|도시의 까마귀|일반|X
364|6-31|싱크로니시티 사건 (전편)|일반|X
365|6-32|싱크로니시티 사건 (후편)|일반|X
366|6-33|훤히 보이는 부두의 참극 (전편)|일반|X
367|6-34|훤히 보이는 부두의 참극 (후편)|일반|X
368|6-35|마녀가 사는 과자의 집|일반|X
369|6-36|운 좋은 남자의 서스펜스|일반|X
370|6-37|도망쳐 다니는 게임 소프트|일반|X
371|6-38|말하지 않는 항로 (전편)|일반|X
372|6-39|말하지 않는 항로 (후편)|일반|X
373|6-40|맹독 거미의 함정|일반|X
374|애X2-29|별과 담배의 암호 (전편)|일반|X
375|애X2-30|별과 담배의 암호 (후편)|일반|X
376|6-41|타임 리미트는 15시!|일반|X
377|애X2-31|모모타로 수수께끼 풀이 투어 (전편)|일반|X
378|애X2-32|모모타로 수수께끼 풀이 투어 (후편)|일반|X
379|애X2-33|비탕 설야 후리소데 사건 (전편)|일반|X
380|애X2-34|비탕 설야 후리소데 사건 (후편)|일반|X
381|애X2-35|어느 쪽의 추리쇼 (전편)|일반|X
382|애X2-36|어느 쪽의 추리쇼 (후편)|일반|X
383|애X2-37, 애X2-38, 애X2-39, 애X2-40|코시엔의 기적! 보이지 않는 악마에게 지기 싫어|스페셜|X
384|6-42|표적은 모리 코고로|일반|X
385|6-43|스트라디바리우스의 불협화음 (전주곡)|일반|X
386|6-44|스트라디바리우스의 불협화음 (간주곡)|일반|X
387|6-45|스트라디바리우스의 불협화음 (후주곡)|일반|X
388|6-46|사츠마에 취한 코고로 (전편)|일반|X
389|6-47|사츠마에 취한 코고로 (후편)|일반|X
390|6-48|본청의 형사 사랑 이야기 6 (전편)|일반|X
391|6-49|본청의 형사 사랑 이야기 6 (후편)|일반|X
392|6-50|수수께끼 같은 신장 차이 20cm|일반|X
393|6-51|유괴…인 듯한 사건|일반|X
394|애X2-41|기발한 저택의 대모험 (봉인편)|괴도키드|X
395|애X2-42|기발한 저택의 대모험 (꼭두각시편)|괴도키드|X
396|애X2-43|기발한 저택의 대모험 (해결편)|괴도키드|X
397|6-52|맵고 쓰고 단 즙|일반|X
398|7-01|기묘한 일가의 의뢰 (전편)|일반|X
399|7-02|기묘한 일가의 의뢰 (후편)|일반|X
400|애X2-44|의혹을 가진 란|일반|X
401|7-03|보석 강도 현행범 (전편)|일반|X
402|7-04|보석 강도 현행범 (후편)|일반|X
403|7-05|불가사의한 천사의 저택 (전편)|일반|X
404|7-06|불가사의한 천사의 저택 (후편)|일반|X
405|7-07|구급차를 부르러 간 남자|일반|X
406|7-08|코난 헤이지의 추리 매직 (장치편)|일반|X
407|7-09|코난 헤이지의 추리 매직 (저택편)|일반|X
408|7-10|코난 헤이지의 추리 매직 (해결편)|일반|X
409|7-11|동시 진행 무대와 유괴 (전편)|일반|X
410|7-12|동시 진행 무대와 유괴 (후편)|일반|X
411|애X2-45|신사 토리이 깜짝 암호 (전편)|일반|X
412|애X2-46|신사 토리이 깜짝 암호 (후편)|일반|X
413|7-13|완전 반분 범죄의 수수께끼|일반|X
414|7-14|파랑새를 쫓는 탐정단|일반|X
415|7-15|불멸일에 나오는 악령 (사건편)|일반|X
416|7-16|불멸일에 나오는 악령 (의혹편)|일반|X
417|7-17|불멸일에 나오는 악령 (해결편)|일반|X
418|7-18|베이카초 다락방의 집|일반|X
419|7-19|야마타노오로치의 검 (전편)|일반|X
420|7-20|야마타노오로치의 검 (후편)|일반|X
421|7-21|은행나무 색 첫사랑 (전편)|일반|X
422|7-22|은행나무 색 첫사랑 (후편)|일반|X
423|7-23|탐정단과 애벌레 4형제|일반|X
424|7-24|피에로로부터의 사진 메일|일반|X
425|7-25, 7-26, 7-27, 7-28, 7-29|블랙 임팩트! 조직의 손이 닿는 순간|검은조직|X
426|7-30|란에게의 러브레터|일반|X
427|7-31|초비밀의 통학로 (전편)|일반|X
428|7-32|초비밀의 통학로 (후편)|일반|X
429|7-33|이제 돌아갈 수 없는 두 사람 (전편)|일반|X
430|7-34|이제 돌아갈 수 없는 두 사람 (후편)|일반|X
431|7-35|본청의 형사 사랑 이야기 7 (전편)|일반|X
432|7-36|본청의 형사 사랑 이야기 7 (후편)|일반|X
433|7-37|코난 이상한 아이|일반|X
434|7-38|명견 쿨의 공훈|일반|X
435|7-39|탐정단에 주목 취재 (전편)|일반|X
436|7-40|탐정단에 주목 취재 (후편)|일반|X
437|7-41|우에토 아야와 신이치 4년 전의 약속|일반|X
438|7-42|물고기 메일의 추적|일반|X
439|7-43|그리고 아무도 없으면 좋을 텐데|일반|X
440|7-44|극한의 카 스턴트|일반|X
441|애X2-47|최후의 아앙|일반|X
442|7-45|철골에 가로막힌 남자|일반|X
443|7-46|한숨의 개펄 조개잡이 (전편)|일반|X
444|7-47|한숨의 개펄 조개잡이 (후편)|일반|X
445|애X2-48|러시안 블루의 비밀|일반|X
446|7-48|봉인된 양창 (전편)|일반|X
447|7-49|봉인된 양창 (후편)|일반|X
448|애X2-49|메구로의 꽁치 사건|일반|X
449|7-50, 7-51|본청의 형사 사랑 이야기 거짓 웨딩|스페셜|X
450|8-01|트릭vs매직 (전편)|일반|X
451|8-02|트릭vs매직 (후편)|일반|X
452|애X2-50, 애X2-51|콘피라 극장의 괴인|스페셜|X
453|7-52|인연과 우정의 시사회|일반|X
454|8-03|뒤집힌 결말 (전편)|일반|X
455|8-04|뒤집힌 결말 (후편)|일반|X
456|8-05|내가 사랑한 미스터리|일반|X
457|8-06|소노코의 빨간 손수건 (전편)|일반|X
458|8-07|소노코의 빨간 손수건 (후편)|일반|X
459|8-08|괴인 딱딱 규칙남|일반|X
460|애X2-52|1학년 B반 대작전!|일반|X
461|애X2-53|사라진 1페이지|일반|X
462|8-09|검은 조직의 그림자 - 어린 목격자|검은조직|X
463|8-10|검은 조직의 그림자 - 기묘한 조명|검은조직|X
464|8-11|검은 조직의 그림자 - 수수께끼의 고액보수|검은조직|X
465|8-12|검은 조직의 그림자 - 진주의 유성|검은조직|X
466|8-13|부서지지 않는 눈사람 (전편)|일반|X
467|8-14|부서지지 않는 눈사람 (후편)|일반|X
468|8-15|연못가의 괴사건|일반|X
469|8-16|괴도 키드와 네 명화 (전편)|괴도키드|X
470|8-17|괴도 키드와 네 명화 (후편)|괴도키드|X
471|8-18|렌트카 제어불능!|일반|X
472|애X2-54|쿠도 신이치 소년의 모험 (전편)|괴도키드|X
473|애X2-55|쿠도 신이치 소년의 모험 (후편)|괴도키드|X
474|8-19|키사키 에리 변호사의 사랑|일반|X
475|8-20|악운 그랑프리|일반|X
476|8-21|겐타의 필살 슛 (전편)|일반|X
477|8-22|겐타의 필살 슛 (후편)|일반|X
478|8-23|리얼 30 미니트|일반|X
479|8-24, 8-25, 8-26, 8-27|핫토리 헤이지와의 3일간|스페셜|X
480|8-28|노란 부재증명|일반|X
481|8-29|야만바의 날붙이 (전편)|일반|X
482|8-30|야만바의 날붙이 (후편)|일반|X
